Country,State,Year,Month,"Ration Cards (UOM:Number), Scaling Factor:1","Transactions Through Portability-Inter District Under Antyodaya Anna Yojana (UOM:Number), Scaling Factor:1","Transactions Through Portability-Inter District Under Priority Household (UOM:Number), Scaling Factor:1","Transactions Through Portability-Intra District Under Antyodaya Anna Yojana (UOM:Number), Scaling Factor:1","Transactions Through Portability-Intra District Under Priority Household (UOM:Number), Scaling Factor:1","Quantity Distributed Through Portability Inter Distric Under Antyodaya Anna Yojana (UOM:MT(MetricTonne)), Scaling Factor:1","Quantity Distributed Through Portability Inter District Under Priority Household (UOM:MT(MetricTonne)), Scaling Factor:1","Quantity Distributed Through Portability Intra District Under Antyodaya Anna Yojana (UOM:MT(MetricTonne)), Scaling Factor:1","Quantity Distributed Through Portability Intra District Under Priority Household (UOM:MT(MetricTonne)), Scaling Factor:1"
India,Jharkhand,"Calendar Year (Jan - Dec), 2022","August, 2022",5999000,94,2596,3267,77300,2.56,29.7,85.25,961.51
India,Karnataka,"Calendar Year (Jan - Dec), 2022","August, 2022",11498218,3414,120904,27686,899820,1.19,17.64,9.87,142.37
India,Kerala,"Calendar Year (Jan - Dec), 2022","August, 2022",4082762,8766,46436,105680,705191,270.94,686.7,3333.07,11970.99
India,Ladakh,"Calendar Year (Jan - Dec), 2022","August, 2022",28961,0,0,0,0,0,0,0,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2022","August, 2022",4768,0,0,77,442,0,0,2.66,10.44
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022","August, 2022",11934167,10109,78175,55427,573194,316.26,1469.97,1867.2,11793.62
India,Maharashtra,"Calendar Year (Jan - Dec), 2022","August, 2022",15460735,10133,90798,45802,730941,339.05,1891.61,1550.9,15546.46
India,Manipur,"Calendar Year (Jan - Dec), 2022","August, 2022",569497,0,0,0,0,0,0,0,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2022","August, 2022",421528,0,0,0,0,0,0,0,0
India,Mizoram,"Calendar Year (Jan - Dec), 2022","August, 2022",166993,9,44,21,139,0.32,0.87,0.74,2.78
India,Nagaland,"Calendar Year (Jan - Dec), 2022","August, 2022",302048,0,1,97,967,0,0.03,3.4,18.21
India,Odisha,"Calendar Year (Jan - Dec), 2022","August, 2022",9306429,0,0,0,0,0,0,0,0
India,Rajasthan,"Calendar Year (Jan - Dec), 2022","August, 2022",10347839,4086,56396,88451,1775391,142.46,1184.35,3085,36578.63
India,Sikkim,"Calendar Year (Jan - Dec), 2022","August, 2022",95018,0,1,36,268,0,0.02,1.26,5.84
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022","August, 2022",11508210,5032,96179,17037,159169,165.97,1462.02,568.46,2479.44
India,Telangana,"Calendar Year (Jan - Dec), 2022","August, 2022",5439229,24723,270857,100986,1197787,1428.65,0,5794.97,64595.77
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2022","August, 2022",60408,0,3,95,1858,0,0.02,3.16,40.53
India,Tripura,"Calendar Year (Jan - Dec), 2022","August, 2022",596265,353,2390,3000,21526,12.15,40.87,130.57,482.23
India,Uttarakhand,"Calendar Year (Jan - Dec), 2022","August, 2022",1356226,0,0,0,0,0,0,0,0
India,West Bengal,"Calendar Year (Jan - Dec), 2022","August, 2022",55850358,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2022","July, 2022",16742,20,79,112,819,0.69,1.18,3.88,13.89
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022","July, 2022",8875214,9353,87265,161359,1647447,3058.89,14037.64,2837.79,12983.6
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022","July, 2022",180490,0,0,0,0,0,0,0,0
India,Assam,"Calendar Year (Jan - Dec), 2022","July, 2022",5865421,27,285,10073,73835,0.95,5.88,351.84,1568.19
India,Bihar,"Calendar Year (Jan - Dec), 2022","July, 2022",18416985,16084,140534,642957,5393754,555.99,3210.74,22302.34,121962.14
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022","July, 2022",5166205,3206,24427,20527,134468,111.84,478.3,604.68,2192.68
