Country,State,Year,Month,"Ration Cards (UOM:Number), Scaling Factor:1","Transactions Through Portability-Inter District Under Antyodaya Anna Yojana (UOM:Number), Scaling Factor:1","Transactions Through Portability-Inter District Under Priority Household (UOM:Number), Scaling Factor:1","Transactions Through Portability-Intra District Under Antyodaya Anna Yojana (UOM:Number), Scaling Factor:1","Transactions Through Portability-Intra District Under Priority Household (UOM:Number), Scaling Factor:1","Quantity Distributed Through Portability Inter Distric Under Antyodaya Anna Yojana (UOM:MT(MetricTonne)), Scaling Factor:1","Quantity Distributed Through Portability Inter District Under Priority Household (UOM:MT(MetricTonne)), Scaling Factor:1","Quantity Distributed Through Portability Intra District Under Antyodaya Anna Yojana (UOM:MT(MetricTonne)), Scaling Factor:1","Quantity Distributed Through Portability Intra District Under Priority Household (UOM:MT(MetricTonne)), Scaling Factor:1"
India,Meghalaya,"Calendar Year (Jan - Dec), 2021","September, 2021",421503,0,0,0,0,0,0,0,0
India,Mizoram,"Calendar Year (Jan - Dec), 2021","September, 2021",164800,0,19,2,40,0,0.44,0.07,0.92
India,Nagaland,"Calendar Year (Jan - Dec), 2021","September, 2021",298629,0,0,12,448,0,0,0.42,8.32
India,Odisha,"Calendar Year (Jan - Dec), 2021","September, 2021",9261749,45,706,160,2281,1.57,11.44,5.6,37.74
India,Punjab,"Calendar Year (Jan - Dec), 2021","September, 2021",3915990,168,212,84882,107113,10.92,207.08,592.7,16989.35
India,Rajasthan,"Calendar Year (Jan - Dec), 2021","September, 2021",10625402,2669,36687,72918,1523282,91.81,783.31,2528.56,31758.23
India,Sikkim,"Calendar Year (Jan - Dec), 2021","September, 2021",92205,0,3,46,292,0,0.08,1.59,6.21
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021","September, 2021",11181556,1851,28737,6390,52803,59.69,431.46,211.88,809.93
India,Telangana,"Calendar Year (Jan - Dec), 2021","September, 2021",5439207,20778,234563,88905,1033843,276.26,0,1124.72,19274.48
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2021","September, 2021",60183,0,3,43,1131,0,0.06,1.47,23.17
India,Tripura,"Calendar Year (Jan - Dec), 2021","September, 2021",596195,310,1961,1938,11598,10.18,32.16,60.11,211.88
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2021","September, 2021",35980157,8035,165703,38157,1300421,281.2,3393.74,1335.33,27385.84
India,Uttarakhand,"Calendar Year (Jan - Dec), 2021","September, 2021",1405340,0,0,0,0,0,0,0,0
India,West Bengal,"Calendar Year (Jan - Dec), 2021","September, 2021",54958594,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2021","August, 2021",16808,6,33,54,400,0.19,0.46,1.68,5.71
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2021","August, 2021",8911732,6359,61928,135676,1403637,188.4,812.18,4702.17,21669.11
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2021","August, 2021",185088,0,0,0,0,0,0,0,0
India,Assam,"Calendar Year (Jan - Dec), 2021","August, 2021",182815,0,0,0,14,0,0,0,0.28
India,Bihar,"Calendar Year (Jan - Dec), 2021","August, 2021",17983391,8977,84241,549470,4477030,311.54,1903.63,19053.31,98862.8
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2021","August, 2021",5117903,1777,0,45717,0,23823.95,87936.24,23823.95,87936.24
India,Delhi,"Calendar Year (Jan - Dec), 2021","August, 2021",1778541,866,22162,6334,279036,30.11,434.45,219.69,5644.38
India,Goa,"Calendar Year (Jan - Dec), 2021","August, 2021",142930,1,23,117,428,0.04,0.32,4.1,8.18
India,Gujarat,"Calendar Year (Jan - Dec), 2021","August, 2021",7221680,1221,11520,2600,32393,41.63,262.99,88.37,736.58
India,Haryana,"Calendar Year (Jan - Dec), 2021","August, 2021",2703765,0,0,38391,451289,98.92,335.88,1337.27,10494.41
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2021","August, 2021",720544,0,0,0,1,0.07,0.1,0,0
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2021","August, 2021",1620830,74,959,1889,17446,1.88,15.2,64.63,333.27
India,Jharkhand,"Calendar Year (Jan - Dec), 2021","August, 2021",5844798,4594,40726,0,0,64.91,870.43,0,0
India,Karnataka,"Calendar Year (Jan - Dec), 2021","August, 2021",12043560,3039,107369,23247,741615,1.08,17.88,8.35,115.84
India,Kerala,"Calendar Year (Jan - Dec), 2021","August, 2021",3834145,7666,40568,91940,595324,235.4,604,2880.32,10344.59
India,Ladakh,"Calendar Year (Jan - Dec), 2021","August, 2021",28777,0,0,0,0,0,0,0,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021","August, 2021",5161,0,0,0,0,0,0,0,0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021","August, 2021",11590126,6873,54066,34603,357588,234.23,999.66,1178.54,6922.01
India,Maharashtra,"Calendar Year (Jan - Dec), 2021","August, 2021",15252036,8782,80618,43154,658923,294.35,1710.83,1478.39,14170.51
India,Manipur,"Calendar Year (Jan - Dec), 2021","August, 2021",539350,0,0,0,0,0,0,0,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2021","August, 2021",421503,0,0,0,0,0,0,0,0
India,Mizoram,"Calendar Year (Jan - Dec), 2021","August, 2021",164483,1,12,10,48,0.04,0.24,0.35,1.15
India,Nagaland,"Calendar Year (Jan - Dec), 2021","August, 2021",296171,0,0,6,432,0,0,0.21,8.74
India,Odisha,"Calendar Year (Jan - Dec), 2021","August, 2021",9313430,1,39,38,930,0.04,0.57,1.33,15.5
India,Punjab,"Calendar Year (Jan - Dec), 2021","August, 2021",3915990,252,8877,12663,594599,50.75,956.68,2617.83,68690.24
India,Rajasthan,"Calendar Year (Jan - Dec), 2021","August, 2021",10623306,2573,34911,74003,1525010,88.91,746.52,2564.86,31845.94
India,Sikkim,"Calendar Year (Jan - Dec), 2021","August, 2021",91879,0,4,40,224,0,0.08,1.4,4.42
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021","August, 2021",11182700,916,14681,3466,28606,29.53,221.58,114.25,434.57
India,Telangana,"Calendar Year (Jan - Dec), 2021","August, 2021",5439207,20491,233295,87772,1030545,553.65,0,2266.18,19361.67
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2021","August, 2021",60195,0,3,34,782,0,0.06,1.15,15.96
India,Tripura,"Calendar Year (Jan - Dec), 2021","August, 2021",596132,282,1968,1847,11379,9.37,31.25,55.46,210.74
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2021","August, 2021",35968384,7486,148478,58590,1232809,261.98,3043.98,2050.62,25916.47
India,Uttarakhand,"Calendar Year (Jan - Dec), 2021","August, 2021",1403526,0,0,0,0,0,0,0,0
India,West Bengal,"Calendar Year (Jan - Dec), 2021","August, 2021",55462666,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2021","July, 2021",16818,4,44,39,345,0.13,0.55,1.21,4.83
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2021","July, 2021",8891202,5456,55159,131641,1377556,187.68,855.1,4554.97,21265.3
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2021","July, 2021",175680,0,0,35,515,0,0,1.23,12.84
India,Bihar,"Calendar Year (Jan - Dec), 2021","July, 2021",17842550,7582,71821,529650,4274947,262.61,1642.35,18292.78,93645.54
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2021","July, 2021",5119364,1961,0,44650,0,24202.39,88878.41,24202.35,88878.32
India,Delhi,"Calendar Year (Jan - Dec), 2021","July, 2021",1778527,448,11878,4713,196242,15.44,229.14,162.94,3998.11
India,Goa,"Calendar Year (Jan - Dec), 2021","July, 2021",142928,1,26,92,338,0.04,0.35,3.22,6.26
India,Gujarat,"Calendar Year (Jan - Dec), 2021","July, 2021",7195553,1263,12177,2603,33324,43.32,280.24,89.38,762.98
India,Haryana,"Calendar Year (Jan - Dec), 2021","July, 2021",2704846,3148,17274,44921,520779,93.71,312.17,1324.7,10301.9
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2021","July, 2021",710358,0,0,0,3,0.07,0.1,0,0.05
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2021","July, 2021",1617431,45,706,1477,12087,1.24,11.11,51.54,242.68
India,Jharkhand,"Calendar Year (Jan - Dec), 2021","July, 2021",5825570,4355,35540,0,0,67.6,766.97,0,0
India,Karnataka,"Calendar Year (Jan - Dec), 2021","July, 2021",12050080,2996,110195,25199,781601,1.05,18.2,8.81,120.02
India,Kerala,"Calendar Year (Jan - Dec), 2021","July, 2021",3898757,7484,38393,91669,581944,235.45,587.54,2950.81,10363.75
India,Ladakh,"Calendar Year (Jan - Dec), 2021","July, 2021",28481,0,0,0,0,0,0,0,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021","July, 2021",5154,0,0,0,0,0,0,0,0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021","July, 2021",11546059,6485,45656,34523,322256,220.76,915.39,1175.36,6547.42
India,Maharashtra,"Calendar Year (Jan - Dec), 2021","July, 2021",15208083,8594,78837,43551,640830,291.67,1700.93,1489.19,13919.87
India,Manipur,"Calendar Year (Jan - Dec), 2021","July, 2021",539350,0,0,0,0,0,0,0,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2021","July, 2021",421503,0,0,0,0,0,0,0,0
India,Mizoram,"Calendar Year (Jan - Dec), 2021","July, 2021",163524,2,12,12,54,0.07,0.23,0.42,1.27
India,Nagaland,"Calendar Year (Jan - Dec), 2021","July, 2021",298674,0,0,0,0,0,0,0,0
India,Odisha,"Calendar Year (Jan - Dec), 2021","July, 2021",9313430,1,39,38,910,0.04,0.53,1.33,14.97
India,Punjab,"Calendar Year (Jan - Dec), 2021","July, 2021",3915990,47,1420,2051,84801,8.8,153.87,424.57,9908.85
India,Rajasthan,"Calendar Year (Jan - Dec), 2021","July, 2021",10606932,2527,33802,73382,1514542,87.21,721.74,2542.53,31606.37
India,Sikkim,"Calendar Year (Jan - Dec), 2021","July, 2021",91863,0,0,1,5,0,0,0.04,0.05
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021","July, 2021",11186811,302,5200,1445,11388,9.51,77.46,46.14,160.03
India,Telangana,"Calendar Year (Jan - Dec), 2021","July, 2021",5439207,19289,216810,80911,946461,735.11,5160.22,2775.55,17874.11
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2021","July, 2021",60244,0,1,25,719,0,0.02,0.87,14.53
India,Tripura,"Calendar Year (Jan - Dec), 2021","July, 2021",596005,273,1833,1835,10815,8.38,28.34,55.05,193.51
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2021","July, 2021",35934556,5595,123398,40687,999901,195.83,2536.93,1424.05,21006.17
India,Uttarakhand,"Calendar Year (Jan - Dec), 2021","July, 2021",1383601,0,0,0,0,0,0,0,0
India,West Bengal,"Calendar Year (Jan - Dec), 2021","July, 2021",55850222,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2021","June, 2021",16804,1,38,62,410,0.03,0.48,1.92,5.68
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2021","June, 2021",8354505,4671,48852,122744,1333093,161.27,749.35,4259.54,20640.59
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2021","June, 2021",176998,0,0,0,0,0,0,0,0
India,Bihar,"Calendar Year (Jan - Dec), 2021","June, 2021",17612669,6466,59748,515071,4082425,223.3,1374.75,17643.69,88344.27
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2021","June, 2021",5136721,944,0,29333,0,24128.31,88734.76,24127.99,88732.71
India,Goa,"Calendar Year (Jan - Dec), 2021","June, 2021",142931,1,23,66,437,0.04,0.34,2.31,8.54
India,Gujarat,"Calendar Year (Jan - Dec), 2021","June, 2021",7197424,1156,10891,2535,31103,39.13,247.12,85.02,698.36
India,Haryana,"Calendar Year (Jan - Dec), 2021","June, 2021",2705011,3099,16946,44309,507320,91.49,304.6,1328.45,10183.71
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2021","June, 2021",699770,0,0,1,4,0.02,0.06,0.03,0.06
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2021","June, 2021",1606963,7,201,1262,11061,0.24,3.3,44.03,224.21
India,Jharkhand,"Calendar Year (Jan - Dec), 2021","June, 2021",5809799,4619,35629,0,0,88.99,752.47,0,0
India,Karnataka,"Calendar Year (Jan - Dec), 2021","June, 2021",12059913,3049,109839,25348,778642,1.06,18.06,8.87,119.57
India,Kerala,"Calendar Year (Jan - Dec), 2021","June, 2021",3905189,7630,39819,92043,592959,236.15,582.27,2896.47,10112.3
India,Ladakh,"Calendar Year (Jan - Dec), 2021","June, 2021",28688,0,0,0,0,0,0,0,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021","June, 2021",5159,0,0,0,0,0,0,0,0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021","June, 2021",11326448,4986,35458,22427,239674,161.04,676.27,731.33,4627.4
India,Maharashtra,"Calendar Year (Jan - Dec), 2021","June, 2021",15161023,7957,73491,41366,614193,264.11,1582.05,1417.31,13309.32
India,Manipur,"Calendar Year (Jan - Dec), 2021","June, 2021",539350,0,0,0,0,0,0,0,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2021","June, 2021",421374,0,0,0,0,0,0,0,0
India,Mizoram,"Calendar Year (Jan - Dec), 2021","June, 2021",162045,3,7,4,27,0.11,0.13,0.14,0.74
India,Nagaland,"Calendar Year (Jan - Dec), 2021","June, 2021",298990,0,0,0,7,0,0,0,0.18
India,Odisha,"Calendar Year (Jan - Dec), 2021","June, 2021",9277485,0,0,0,0,0,0,0,0
India,Rajasthan,"Calendar Year (Jan - Dec), 2021","June, 2021",10618734,2485,32528,73598,1514732,86.24,696.91,2557.65,31609.06
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021","June, 2021",11191833,6,105,7,69,0.17,1.56,0.24,0.98
India,Telangana,"Calendar Year (Jan - Dec), 2021","June, 2021",5439207,19105,223278,83957,1005015,523.65,0,2179.68,18886.48
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2021","June, 2021",60124,0,1,18,739,0,0.02,0.63,14.76
India,Tripura,"Calendar Year (Jan - Dec), 2021","June, 2021",595312,286,1812,1978,10976,8.78,28.35,57.53,191.95
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2021","June, 2021",35930088,4391,111962,22555,873341,153.69,2305.33,789.4,18277.64
India,Uttarakhand,"Calendar Year (Jan - Dec), 2021","June, 2021",1383601,0,0,0,0,0,0,0,0
India,West Bengal,"Calendar Year (Jan - Dec), 2021","June, 2021",56207742,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2021","May, 2021",16804,1,37,63,418,0.03,0.45,1.92,5.63
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2021","May, 2021",8331597,5403,52659,122281,1313991,186.25,818.54,4235.35,20430.18
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2021","May, 2021",176998,0,0,0,0,0,0,0,0
India,Bihar,"Calendar Year (Jan - Dec), 2021","May, 2021",17458438,6491,54353,512482,4035435,222.7,1256.98,17429.92,86544.18
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2021","May, 2021",5136721,3244,0,51933,0,0,0,24207.26,88984.79
India,Goa,"Calendar Year (Jan - Dec), 2021","May, 2021",142933,1,29,117,389,0.04,0.45,4.1,7.42
India,Gujarat,"Calendar Year (Jan - Dec), 2021","May, 2021",7178473,1092,9920,2333,28475,37.5,227.93,79.81,648.71
India,Haryana,"Calendar Year (Jan - Dec), 2021","May, 2021",2705269,3268,17263,44718,517305,94.49,303.16,1306.52,10141.1
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2021","May, 2021",687117,0,0,2,2,0.03,0.03,0.03,0.04
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2021","May, 2021",1598980,6,142,909,6833,0.21,2.57,31.77,143.73
India,Jharkhand,"Calendar Year (Jan - Dec), 2021","May, 2021",5803441,602,6609,0,0,16.59,147.59,0,0
India,Karnataka,"Calendar Year (Jan - Dec), 2021","May, 2021",12068720,3033,109794,24347,743844,0.92,14.91,5.25,81.34
India,Kerala,"Calendar Year (Jan - Dec), 2021","May, 2021",3903340,8004,42010,95783,623948,240.22,605.06,2942.23,10516.04
India,Ladakh,"Calendar Year (Jan - Dec), 2021","May, 2021",28849,0,0,0,0,0,0,0,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021","May, 2021",5159,0,0,0,0,0,0,0,0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021","May, 2021",11129273,5525,38530,27690,277587,170.1,697.93,864.05,5150.42
India,Maharashtra,"Calendar Year (Jan - Dec), 2021","May, 2021",15103537,6515,59141,25439,396498,214.36,1283.32,865.16,8487.44
India,Manipur,"Calendar Year (Jan - Dec), 2021","May, 2021",539350,0,0,0,0,0,0,0,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2021","May, 2021",421503,0,0,0,0,0,0,0,0
India,Mizoram,"Calendar Year (Jan - Dec), 2021","May, 2021",161651,1,2,7,34,0.04,0.03,0.25,0.89
India,Nagaland,"Calendar Year (Jan - Dec), 2021","May, 2021",303582,0,0,0,0,0,0,0,0
India,Odisha,"Calendar Year (Jan - Dec), 2021","May, 2021",9283193,0,0,0,0,0,0,0,0
India,Rajasthan,"Calendar Year (Jan - Dec), 2021","May, 2021",10632454,2316,29958,73077,1477192,80.37,645.58,2549.64,31165.67
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021","May, 2021",11192269,1,3,1,2,0.45,0.77,0.04,0.08
India,Telangana,"Calendar Year (Jan - Dec), 2021","May, 2021",5356120,18345,203360,76824,901408,684.09,4708.18,2635.48,17128.12
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2021","May, 2021",60277,0,1,16,707,0,0.03,0.56,14.4
India,Tripura,"Calendar Year (Jan - Dec), 2021","May, 2021",594473,297,1981,2113,12185,9.16,29.19,59.54,197.02
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2021","May, 2021",35848247,5541,111434,48088,1080683,193.93,2344.06,1683.08,22879.07
India,Uttarakhand,"Calendar Year (Jan - Dec), 2021","May, 2021",1375346,0,0,0,0,0,0,0,0
India,West Bengal,"Calendar Year (Jan - Dec), 2021","May, 2021",56121100,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2021","April, 2021",16785,0,15,26,344,0,0.16,0.81,4.97
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2021","April, 2021",8836679,5219,49280,122619,1285366,178.59,776.49,4240.4,19886.26
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2021","April, 2021",176998,0,0,0,0,0,0,0,0
India,Bihar,"Calendar Year (Jan - Dec), 2021","April, 2021",17414137,5868,45053,469216,3518949,204.66,1073.65,16440.08,79071.51
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2021","April, 2021",5136721,2851,0,69260,0,0,0,0,0
India,Goa,"Calendar Year (Jan - Dec), 2021","April, 2021",142341,0,32,104,360,0,0.51,3.64,7.04
India,Gujarat,"Calendar Year (Jan - Dec), 2021","April, 2021",7158654,983,8528,2356,27080,33.78,197.88,80.59,624.26
India,Haryana,"Calendar Year (Jan - Dec), 2021","April, 2021",2695639,0,0,36831,426627,90.04,279.94,1285.01,9888.38
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2021","April, 2021",672460,0,0,0,5,0,0.05,0,0.06
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2021","April, 2021",1587582,4,110,934,7141,0.14,2.09,31.8,150.91
India,Jharkhand,"Calendar Year (Jan - Dec), 2021","April, 2021",5797079,4562,32881,0,0,48.05,755.92,0,0
India,Karnataka,"Calendar Year (Jan - Dec), 2021","April, 2021",12087805,2168,87342,22374,654996,0.76,14.52,7.83,101.16
India,Kerala,"Calendar Year (Jan - Dec), 2021","April, 2021",3900049,7370,38167,90521,583633,218.71,549.51,2782.44,9810.51
India,Ladakh,"Calendar Year (Jan - Dec), 2021","April, 2021",28982,0,0,0,0,0,0,0,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021","April, 2021",5158,0,0,0,0,0,0,0,0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021","April, 2021",11129273,5986,40226,32125,296021,182.23,738.23,1024.04,5654.59
India,Maharashtra,"Calendar Year (Jan - Dec), 2021","April, 2021",15103537,7880,69055,40396,601186,246.41,1444.62,1374.06,13141.77
India,Manipur,"Calendar Year (Jan - Dec), 2021","April, 2021",539350,0,0,0,0,0,0,0,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2021","April, 2021",421503,0,0,0,0,0,0,0,0
India,Mizoram,"Calendar Year (Jan - Dec), 2021","April, 2021",159764,0,3,4,20,0,0.05,0.14,0.59
India,Nagaland,"Calendar Year (Jan - Dec), 2021","April, 2021",307781,0,0,0,0,0,0,0,0
India,Odisha,"Calendar Year (Jan - Dec), 2021","April, 2021",9243071,0,0,0,0,0,0,0,0
India,Rajasthan,"Calendar Year (Jan - Dec), 2021","April, 2021",10661830,2182,28293,70277,1411715,76.04,611.13,2452.19,29762.18
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021","April, 2021",11199355,5,26,36,116,0.55,1.14,1.02,1.78
India,Telangana,"Calendar Year (Jan - Dec), 2021","April, 2021",5355797,19077,210149,75669,890655,711.25,4841.59,2588.15,16843.04
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2021","April, 2021",51708,0,1,40,881,0,0.03,1.4,21.21
India,Tripura,"Calendar Year (Jan - Dec), 2021","April, 2021",594150,278,1740,2064,12255,8.98,29.45,67.2,233.74
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2021","April, 2021",35811744,5292,114167,38274,930006,178.41,2243.5,1309.82,19219.87
India,Uttarakhand,"Calendar Year (Jan - Dec), 2021","April, 2021",1360368,0,0,0,0,0,0,0,0
India,West Bengal,"Calendar Year (Jan - Dec), 2021","April, 2021",55949953,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2021","March, 2021",16838,1,11,11,258,0.03,0.12,0.34,3.82
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2021","March, 2021",8811969,4522,41272,108149,1095512,155.21,660.61,3736.2,16901.37
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2021","March, 2021",156698,0,0,0,0,0,0,0,0
India,Bihar,"Calendar Year (Jan - Dec), 2021","March, 2021",17009806,5904,45838,473347,3586846,206.1,1096.21,16526.22,80089.57
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2021","March, 2021",5121655,2535,0,62686,0,13.47,45.87,328.42,1181.37
India,Goa,"Calendar Year (Jan - Dec), 2021","March, 2021",142935,1,26,84,398,0.04,0.4,2.94,7.3
India,Gujarat,"Calendar Year (Jan - Dec), 2021","March, 2021",7145238,909,8645,2166,25019,31.25,200.53,73.81,575.45
India,Haryana,"Calendar Year (Jan - Dec), 2021","March, 2021",2708096,0,0,37415,435899,85.21,271.17,1305.24,10100.59
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2021","March, 2021",671936,0,0,3,7,0,0.04,0.1,0.11
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2021","March, 2021",1374910,8,83,680,5022,0.28,1.63,23.26,107.32
India,Jharkhand,"Calendar Year (Jan - Dec), 2021","March, 2021",5762510,4427,36631,0,0,40.46,847.25,0,0
India,Karnataka,"Calendar Year (Jan - Dec), 2021","March, 2021",12170710,2229,89068,21599,649496,0.7,13.02,4.67,71.24
India,Kerala,"Calendar Year (Jan - Dec), 2021","March, 2021",3893710,7404,38476,89536,569905,223.75,565.26,2795.28,9924.29
India,Ladakh,"Calendar Year (Jan - Dec), 2021","March, 2021",29015,0,0,0,0,0,0,0,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021","March, 2021",5158,0,0,0,0,0,0,0,0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021","March, 2021",11132860,6178,40741,38007,333787,198.8,787.62,1258.34,6763.17
India,Maharashtra,"Calendar Year (Jan - Dec), 2021","March, 2021",15173786,7612,66403,42855,622095,234.69,1365.42,1455.32,13510.07
India,Manipur,"Calendar Year (Jan - Dec), 2021","March, 2021",539350,0,0,0,0,0,0,0,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2021","March, 2021",421398,0,0,0,0,0,0,0,0
India,Mizoram,"Calendar Year (Jan - Dec), 2021","March, 2021",158608,0,1,1,2,0,0.03,0.04,0.06
India,Nagaland,"Calendar Year (Jan - Dec), 2021","March, 2021",307753,0,0,0,0,0,0,0,0
India,Odisha,"Calendar Year (Jan - Dec), 2021","March, 2021",9243070,0,0,0,0,0,0,0,0
India,Punjab,"Calendar Year (Jan - Dec), 2021","March, 2021",3784417,172,6548,13279,611159,34.38,705.85,2733.14,69888.07
India,Rajasthan,"Calendar Year (Jan - Dec), 2021","March, 2021",10681457,2130,26596,70842,1391223,74.05,576.61,2470.97,29312.97
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021","March, 2021",11199879,2,33,60,182,0.32,1.11,1.72,2.64
India,Telangana,"Calendar Year (Jan - Dec), 2021","March, 2021",5355580,19034,210932,74480,882819,709.88,4867.36,2540.33,16700.61
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2021","March, 2021",51631,0,1,21,503,0,0.03,0.74,10.27
India,Tripura,"Calendar Year (Jan - Dec), 2021","March, 2021",589203,252,1553,1976,10841,8.38,26.46,64.66,211.75
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2021","March, 2021",35797876,5435,124086,24492,897395,182.35,2439.05,829.81,18242.31
India,Uttarakhand,"Calendar Year (Jan - Dec), 2021","March, 2021",1327875,0,0,0,0,0,0,0,0
India,West Bengal,"Calendar Year (Jan - Dec), 2021","March, 2021",55560480,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2021","February, 2021",16797,0,0,0,0,0,0,0,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2021","February, 2021",8811969,2983,30274,33093,352247,102.84,477.54,1143.25,5226.12
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2021","February, 2021",156698,0,0,0,0,0,0,0,0
India,Bihar,"Calendar Year (Jan - Dec), 2021","February, 2021",16713226,5911,45876,473529,3587594,206.2,1097.32,16532.13,80095.79
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2021","February, 2021",5115845,20,0,456,0,0.14,0.35,2.28,9.08
India,Goa,"Calendar Year (Jan - Dec), 2021","February, 2021",142858,1,26,100,392,0.04,0.43,3.5,7.36
India,Gujarat,"Calendar Year (Jan - Dec), 2021","February, 2021",7149172,896,7644,2068,22980,30.67,177.44,70.86,529.52
India,Haryana,"Calendar Year (Jan - Dec), 2021","February, 2021",2838641,2246,11987,36202,425028,78.14,249.87,1258.52,9838.41
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2021","February, 2021",661971,0,0,0,3,0,0,0,0
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2021","February, 2021",1358324,2,72,826,5847,0.07,1.35,28.64,127.23
India,Jharkhand,"Calendar Year (Jan - Dec), 2021","February, 2021",5699937,3805,32107,0,0,47.04,755.67,0,0
India,Karnataka,"Calendar Year (Jan - Dec), 2021","February, 2021",12185468,2405,88686,21196,629527,0.84,14.64,7.42,96.65
