srcYear,srcMonth,srcStateName,Ration cards,Transactions through portability-Inter District under Antyodaya Anna Yojana,Transactions through portability-Inter District under Priority Household,Transactions through portability-Intra District under Antyodaya Anna Yojana,Transactions through portability-Intra District under Priority Household,Quantity distributed through portability Inter Distric under Antyodaya Anna Yojana,Quantity distributed through portability Inter District under Priority Household,Quantity distributed through portability Intra District under Antyodaya Anna Yojana,Quantity distributed through portability Intra District under Priority Household,YearCode,Year,MonthCode,Month
2022,Jan - 2022,Jharkhand,5920326,774,2188,8126,61806,17.35,45.23,195.78,1290.2,2022,"Calendar Year (Jan - Dec), 2022",202201,"January, 2022"
2022,Jan - 2022,Karnataka,11769985,3752,119922,28220,849163,1.31,17.7,9.85,135.02,2022,"Calendar Year (Jan - Dec), 2022",202201,"January, 2022"
2022,Jan - 2022,Kerala,3960512,8337,42596,103655,674072,264.03,658.76,3336.16,11875.01,2022,"Calendar Year (Jan - Dec), 2022",202201,"January, 2022"
2022,Jan - 2022,Ladakh,28715,0,0,0,0,0,0,0,0,2022,"Calendar Year (Jan - Dec), 2022",202201,"January, 2022"
2022,Jan - 2022,Lakshadweep,4957,0,0,3,19,0,0,0.11,0.47,2022,"Calendar Year (Jan - Dec), 2022",202201,"January, 2022"
2022,Jan - 2022,Madhya Pradesh,11599211,9336,69667,50035,494628,291.95,1265.64,1570.08,9282.76,2022,"Calendar Year (Jan - Dec), 2022",202201,"January, 2022"
2022,Jan - 2022,Maharashtra,15330367,10811,93367,45303,709952,358.58,1941.89,1548.55,15053.07,2022,"Calendar Year (Jan - Dec), 2022",202201,"January, 2022"
2022,Jan - 2022,Manipur,568840,0,0,0,0,0,0,0,0,2022,"Calendar Year (Jan - Dec), 2022",202201,"January, 2022"
2022,Jan - 2022,Meghalaya,421504,0,0,0,0,0,0,0,0,2022,"Calendar Year (Jan - Dec), 2022",202201,"January, 2022"
2022,Jan - 2022,Mizoram,165442,5,25,15,89,0.18,0.52,0.53,1.95,2022,"Calendar Year (Jan - Dec), 2022",202201,"January, 2022"
2022,Jan - 2022,Nagaland,303352,0,0,11,951,0,0,0.39,18.09,2022,"Calendar Year (Jan - Dec), 2022",202201,"January, 2022"
2022,Jan - 2022,Odisha,9327752,26,602,114,1268,0.91,9.8,3.99,20.24,2022,"Calendar Year (Jan - Dec), 2022",202201,"January, 2022"
2022,Jan - 2022,Punjab,4002761,76,2614,2987,133659,5.15,102.72,222.7,5702.02,2022,"Calendar Year (Jan - Dec), 2022",202201,"January, 2022"
2022,Jan - 2022,Rajasthan,10529231,3585,44916,79793,1527937,124.01,961.81,2772.01,31836.5,2022,"Calendar Year (Jan - Dec), 2022",202201,"January, 2022"
2022,Jan - 2022,Tamil Nadu,11368216,62,782,224,2052,1.99,12.26,7.43,32.45,2022,"Calendar Year (Jan - Dec), 2022",202201,"January, 2022"
2022,Jan - 2022,Telangana,5439207,22259,246649,93206,1072165,299.45,0,1184.87,19920.49,2022,"Calendar Year (Jan - Dec), 2022",202201,"January, 2022"
2022,Jan - 2022,Tripura,596052,360,2225,2485,14921,12.47,38.07,84.96,297.05,2022,"Calendar Year (Jan - Dec), 2022",202201,"January, 2022"
2022,Jan - 2022,Uttarakhand,1411827,0,0,0,0,0,0,0,0,2022,"Calendar Year (Jan - Dec), 2022",202201,"January, 2022"
2022,Jan - 2022,Uttar Pradesh,35984780,10327,172307,41222,795181,361.45,3534.34,1442.77,16763.13,2022,"Calendar Year (Jan - Dec), 2022",202201,"January, 2022"
2022,Jan - 2022,West Bengal,56040937,542,7069,17681,137917,18.72,96.27,597.91,2464.39,2022,"Calendar Year (Jan - Dec), 2022",202201,"January, 2022"
2022,Jul - 2022,Andaman & Nicobar Islands,16742,20,79,112,819,0.69,1.18,3.88,13.89,2022,"Calendar Year (Jan - Dec), 2022",202207,"July, 2022"
